iter	RMSE
439	1.285578159
440	1.284615998
441	1.283603864
442	1.282537482
443	1.281805754
444	1.281197965
445	1.28053598
446	1.279579849
447	1.278652791
448	1.277783355
449	1.277022206
450	1.276391947
451	1.275167157
452	1.274661754
453	1.27387554
454	1.273260954
455	1.271853639
456	1.271352864
457	1.27056563
458	1.269527913
459	1.267949027
460	1.266778334
461	1.266088839
462	1.265707449
463	1.265518373
464	1.264518286
465	1.263803023
466	1.263257777
467	1.262241177
468	1.261658908
469	1.260668113
470	1.259701007
471	1.258977369
472	1.258125097
473	1.256685514
474	1.256127528
475	1.25512874
476	1.253665073
477	1.252788186
478	1.251827858
479	1.251141345
480	1.250246361
481	1.248831141
482	1.247438959
483	1.24617675
484	1.245346896
485	1.244263346
486	1.24339483
487	1.242496173
488	1.241969102
489	1.240877821
490	1.240402944
491	1.239737861
492	1.23927608
493	1.23847139
494	1.237170423
495	1.237028413
496	1.23643032
497	1.235603067
498	1.23449245
499	1.233668152
500	1.232857332
501	1.232346071
502	1.231743138
503	1.230987182
504	1.229601415
505	1.229162942
506	1.228183014
507	1.227371307
508	1.226498829
509	1.225643421
510	1.224650832
511	1.224126033
512	1.223656756
513	1.223225641
514	1.222688249
515	1.221928267
516	1.221455689
517	1.221072736
518	1.220669211
519	1.220168006
520	1.219576337
521	1.219129505
522	1.218249152
523	1.21756081
524	1.216752735
525	1.21652883
526	1.215727378
527	1.214933016
528	1.213991712
529	1.213208714
530	1.212752956
531	1.212381419
532	1.211516675
533	1.210836237
534	1.210419235
535	1.21013838
536	1.209226071
537	1.208211499
538	1.207510698
539	1.206369416
540	1.205611016
541	1.204903243
542	1.204463211
543	1.203337658
544	1.202954488
545	1.202337413
546	1.202013556
547	1.201279397
548	1.200305636
549	1.199872891
550	1.198921163
551	1.198608853
552	1.197993761
553	1.197710951
554	1.197036503
555	1.196630607
556	1.195748337
557	1.194849831
558	1.194068739
559	1.193282811
560	1.192779214
561	1.192322109
562	1.191904208
563	1.191371815
564	1.190641223
565	1.189944479
566	1.18940224
567	1.188728187
568	1.188567736
569	1.188069054
570	1.187370734
571	1.186878626
572	1.186490452
573	1.185788026
574	1.184687252
575	1.184330571
576	1.183961678
577	1.183670331
578	1.183067565
579	1.182914231
580	1.182019783
581	1.181503698
582	1.180788242
583	1.180395782
584	1.17973877
585	1.179592219
586	1.178512629
587	1.178017457
588	1.177396228
589	1.17682962
590	1.176356481
591	1.175886024
592	1.175449225
593	1.174879307
594	1.174331612
595	1.17366633
596	1.172951179
597	1.171760471
598	1.171006304
599	1.170417293
600	1.169957257
601	1.169122715
602	1.168750876
603	1.168316964
604	1.167805446
605	1.167104232
606	1.166706623
607	1.166140832
608	1.165762089
609	1.165426971
610	1.165167603
611	1.165029763
612	1.163709852
613	1.163234502
614	1.162613885
615	1.162045451
616	1.161294528
617	1.160572404
618	1.15994707
619	1.159021387
620	1.15844377
621	1.157786144
622	1.157255214
623	1.156834259
624	1.156322051
625	1.155758983
626	1.15541633
627	1.154526282
628	1.15366769
629	1.153204817
630	1.152808705
631	1.152073013
632	1.151452562
633	1.15109174
634	1.150372855
635	1.149699795
636	1.149433044
637	1.148921488
638	1.148281839
639	1.147892837
640	1.147226027
641	1.146491006
642	1.145863813
643	1.145549395
644	1.145079359
645	1.144391603
646	1.143531117
647	1.1431608
648	1.143018707
649	1.142478255
650	1.14144058
651	1.141194616
652	1.141004618
653	1.140084665
654	1.139480196
655	1.139117721
656	1.138573964
657	1.137923037
658	1.137464363
659	1.137150688
660	1.137058048
661	1.136052104
662	1.135606844
663	1.135228861
664	1.13447815
665	1.133876451
666	1.133549507
667	1.132984828
668	1.132274323
669	1.131533724
670	1.130649767
671	1.130444332
672	1.129877519
673	1.129364208
674	1.129001382
675	1.128373202
676	1.127978622
677	1.127647995
678	1.127330413
679	1.126593598
680	1.126003936
681	1.125685838
682	1.125231292
683	1.124740796
684	1.123922404
685	1.123426499
686	1.122702217
687	1.122588284
688	1.12188665
689	1.121234911
690	1.12058552
691	1.119842222
692	1.119468789
693	1.119098866
694	1.118618869
695	1.118211646
696	1.117407746
697	1.117295394
698	1.117037378
699	1.116913509
700	1.116513589
701	1.11564608
702	1.11509621
703	1.114603509
704	1.113845269
705	1.113661748
706	1.113523018
707	1.112975517
708	1.112407931
709	1.111856334
710	1.111010066
711	1.11069857
712	1.110443129
713	1.110150974
714	1.109405575
715	1.109017668
716	1.108515074
717	1.107941044
718	1.107214626
719	1.106914485
720	1.106540913
721	1.106210698
722	1.105564444
723	1.10525332
724	1.105153219
725	1.105007017
726	1.104721936
727	1.103824193
728	1.103333386
729	1.103238251
730	1.103086046
731	1.102707347
732	1.1021994
733	1.101738629
734	1.101598147
735	1.101123003
736	1.10087311
737	1.100540847
738	1.100442953
739	1.100301244
740	1.099827792
741	1.099769848
742	1.099715991
743	1.098911661
744	1.098544247
745	1.097865629
746	1.097499064
747	1.097253017
748	1.096674571
749	1.095922827
750	1.095580894
751	1.095258155
752	1.094567021
753	1.094303786
754	1.094036785
755	1.09370822
756	1.093156777
757	1.092673937
758	1.09217595
759	1.091842153
760	1.09144929
761	1.090841197
762	1.090313738
763	1.090020067
764	1.089698724
765	1.08963378
766	1.089233878
767	1.089021813
768	1.08829334
769	1.087672475
770	1.087115886
771	1.086520254
772	1.086475487
773	1.085821125
774	1.085431951
775	1.085088761
776	1.084675815
777	1.084381694
778	1.084079314
779	1.083623064
780	1.083117084
781	1.082806429
782	1.082594799
783	1.082276429
784	1.082211719
785	1.081414317
786	1.080790474
787	1.08019067
788	1.079808356
789	1.079746642
790	1.079569527
791	1.078920864
792	1.078558414
793	1.077839503
794	1.077663484
795	1.07696205
796	1.076397097
797	1.075669438
798	1.075635802
799	1.075477208
800	1.075025382
801	1.074578481
802	1.07388647
803	1.073444172
804	1.0730609
805	1.072771881
806	1.072111236
807	1.071661728
808	1.070926064
809	1.070854524
810	1.070208658
811	1.069957421
812	1.069656775
813	1.069360493
814	1.06895799
815	1.068580516
816	1.067933966
817	1.067622679
818	1.066956274
819	1.066730195
820	1.066703232
821	1.066457693
822	1.066296373
823	1.06572891
824	1.065420021
825	1.064915321
826	1.064678928
827	1.064515612
828	1.063916429
829	1.063778474
830	1.063539871
831	1.063459731
832	1.063187266
833	1.0629295
834	1.062665571
835	1.062309032
836	1.062168663
837	1.062110449
838	1.061821152
839	1.0615133
840	1.061405927
841	1.061172138
842	1.060765356
843	1.060541385
844	1.060411763
845	1.059948597
846	1.059787077
847	1.059559549
848	1.059316957
849	1.058991189
850	1.058296899
851	1.057523103
852	1.057356686
853	1.056895849
854	1.056653323
855	1.056447324
856	1.055840791
857	1.055502014
858	1.055222213
859	1.055166018
860	1.05505282
861	1.054698378
862	1.054224905
863	1.053977664
864	1.053288185
865	1.053246894
866	1.052990709
867	1.052801595
868	1.052604621
869	1.051996107
870	1.051466263
871	1.0514282
872	1.050855541
873	1.05081105
874	1.0507355
875	1.050570038
876	1.050232384
877	1.049899196
878	1.049571767
879	1.048875839
880	1.048466054
881	1.04790663
882	1.047768129
883	1.047360184
884	1.0472372
885	1.047001803
886	1.046782507
887	1.046682208
888	1.046219186
889	1.045833319
890	1.045566997
891	1.04478529
892	1.044570556
893	1.043725239
894	1.043620369
895	1.043333996
896	1.043161661
897	1.043063368
898	1.042864243
899	1.042664103
900	1.04209202
901	1.042072596
902	1.042036838
903	1.041899175
904	1.041858954
905	1.041227686
906	1.040757458
907	1.040605941
908	1.040136121
909	1.039706744
910	1.039386695
911	1.0392649
912	1.039013364
913	1.03854837
914	1.038099781
915	1.037920687
916	1.037824683
917	1.03748802
918	1.037168554
919	1.036968405
920	1.036324031
921	1.036041685
922	1.035818182
923	1.035326691
924	1.034911069
925	1.034629363
926	1.034212763
927	1.033685368
928	1.033396039
929	1.032871884
930	1.032624041
931	1.031993033
932	1.031824755
933	1.031790535
934	1.031607329
935	1.03122978
936	1.030920741
937	1.030558216
938	1.030406934
939	1.030190188
940	1.029947396
941	1.029566454
942	1.02923336
943	1.028602014
944	1.027976916
945	1.027902936
946	1.027710668
947	1.027288948
948	1.027102378
949	1.027064045
950	1.026782149
951	1.026456622
952	1.026249138
953	1.026091745
954	1.025695066
955	1.025352443
956	1.025169934
957	1.024855603
958	1.024377688
959	1.024089313
960	1.023709228
961	1.02351483
962	1.023138957
963	1.022794884
964	1.022485739
965	1.022164885
966	1.021723943
967	1.021499953
968	1.021128578
969	1.021094421
970	1.020878423
971	1.020624064
972	1.020274839
973	1.019910944
974	1.019871291
975	1.019663299
976	1.019489453
977	1.019484858
978	1.019114368
979	1.018517477
980	1.018175099
981	1.017860183
982	1.017624437
983	1.017513561
984	1.01725405
985	1.016755137
986	1.016495746
987	1.016139612
988	1.015929899
989	1.015612344
990	1.015603714
991	1.015148729
992	1.014671779
993	1.014134782
994	1.013990209
995	1.013979377
996	1.013775615
997	1.013289513
998	1.012881687
999	1.012696352
